ha_x;ha_y;anz_vzae;anz_vzae_w;anz_besch;anz_ast;ht;widl;handel;finanz;freiedl;gewerbe;gesundheit;bau;sonstdl;inform;unterricht;verkehr;uebrige;anz_vzae_w_share;ht_share;widl_share;handel_share;finanz_share;freiedl_share;gewerbe_share;gesundheit_share;bau_share;sonstdl_share;inform_share;unterricht_share;verkehr_share;uebrige_share
2672250;1252250;130.4451473;32.1654049;152;13;6.6438007;6.8891088;61.4421278;6.8891088;0;6.6438007;0;19.3636566;25.2327104;0;0;0;10.873743;0.246581843524048;0.0509317581950402;0.0528123041952362;0.471018884732403;0.0528123041952362;0;0.0509317581950402;0;0.148442904935874;0.193435408846367;0;0;0;0.0833587390950802
2672250;1252450;38.4680319;10.2382214;41;5;32.1010468;1.5779654;1.7952332;0;0.9686223;32.1010468;0.6093431;0;0;0;0;0;2.9937865;0.266148822653961;0.834486330973433;0.0410201749884688;0.0466681842384559;0;0.0251799286877476;0.834486330973433;0.0158402463007212;0;0;0;0;0;0.0778253097996417
2672250;1252550;62.4971372;17.8025514;96;17;0;28.8771139;14.4552136;0;12.8388845;3.1730625;0;15.9917472;0;1.6846861;1.2473996;0;13.1061437;0.284853870074548;0;0.462054986736257;0.23129401197596;0;0.2054315617516;0.0507713255704135;0;0.25587967571737;0;0.0269562123239143;0.0199593078321034;0;0.209707904828639
2672250;1252650;83.1746699;6.7535764;91;7;0;3.3667015;25.332419;2.2436236;0;0;0;0;3.30965;0.438364;0;51.1658994;0.684713900000006;0.0811975137156511;0;0.0404774855619836;0.304568915397643;0.0269748422530259;0;0;0;0;0.0397915615893535;0.00527040264213901;0;0.61516203745102;0.00823224066681875
2672250;1253350;14.4962608;5.8410274;18;3;0;0.9686223;0;0;0.9686223;0;0;0;13.5276385;0;0;0;0;0.402933382655478;0;0.0668187688786615;0;0;0.0668187688786615;0;0;0;0.933181231121339;0;0;0;0
2672250;1253650;6.4034137;2.5289244;8;3;0;0.5;5.9034137;0;0;0;0.5;0;0;0;0;0;0;0.394933783522373;0;0.0780833510725693;0.921916648927431;0;0;0;0.0780833510725693;0;0;0;0;0;0
2672250;1256750;252.9093226;31.2849883;267;6;0;158.6681166;0;0;158.6681166;17.326986;0;70.5435155;6.3707045;0;0;0;0;0.12370041554174;0;0.627371561351847;0;0;0.627371561351847;0.0685106654901934;0;0.278928094760553;0.0251896783974068;0;0;0;0
2672250;1261150;12.7985254;1.8362353;15;4;0;1.5779654;0;0;0;1.3255611;0;9.8949989;0;1.5779654;0;0;0;0.143472411282631;0;0.123292750585157;0;0;0;0.103571392685598;0;0.773135856729245;0;0.123292750585157;0;0;0
2672350;1250450;34.3546919;18.0360226;52;12;0;20.4392831;8.1155652;0.9182498;3.4648375;0;10.4741229;4;0;2.419296;3.1627769;0.9686223;0.831221300000003;0.524994450612436;0;0.594948811053084;0.236228728920721;0.0267285121541142;0.100854855869047;0;0.304881875537938;0.116432422437181;0;0.0704211234681456;0.0920624440238394;0.0281947602039185;0.0241952773850958
2672350;1250550;14.6312831;9.2556745;20;8;0;1.5275928;0.9686223;0;1.5275928;4.672896;0;3;1.5275929;0;0;0.438364;2.4962151;0.632594861075445;0;0.104405935525914;0.0662021432693077;0;0.104405935525914;0.319377047663031;0;0.205040117089936;0.104405942360585;0;0;0.0299607352960042;0.170608078795222
2672350;1251050;97.7911009;38.9553153;134;23;1.9834945;29.6677062;7.8237683;0;14.8190814;10.9834945;8.9611191;5.1445632;19.1362246;0;0;0;30.9228498;0.398352354575037;0.0202829754624431;0.303378384402665;0.0800049107535919;0;0.151538138579233;0.112315889676215;0.0916353228210769;0.052607682628103;0.195684724109697;0;0;0;0.316213331432083
2672350;1251150;18.1274787;3.9897935;25;4;0;4.864969;0;0;0.3399991;0;4.5249699;1.9834945;0;0;0;11.2790152;0;0.220096438452856;0;0.268375380852054;0;0;0.0187560060407077;0;0.249619374811346;0.10941921559119;0;0;0;0.622205403556756;0
2672350;1251950;79.4323665;6.4364995;83;3;0;0;6.5423665;0;0;0;0;0;0;0;0;72.89;0;0.0810311940032657;0;0;0.0823639882364577;0;0;0;0;0;0;0;0;0.917636011763542;0
2672350;1252050;84.1933827;4.7992695;88;5;0;0;72.9841208;0;0;0;0;7.4544369;2.154825;0;0;0;1.59999999999999;0.0570029299939269;0;0;0.866862910830639;0;0;0;0;0.0885394630901319;0.0255937572633009;0;0;0;0.0190038688159277
2672350;1252150;17.0038113;2.2318556;23;13;2.2104264;3.0980032;8.9691996;0;3.0980032;2.2104264;0;0;0;0;0;0;2.7261821;0.131256196662215;0.129995938028317;0.18219463538742;0.527481718172208;0;0.18219463538742;0.129995938028317;0;0;0;0;0;0;0.160327708412055
2672350;1252250;7.5956985;1.9898526;11;3;0;0;1.4333471;0;0;6.1623514;0;0;0;0;0;0;0;0.261970982655512;0;0;0.188705107239314;0;0;0.811294892760686;0;0;0;0;0;0;0
2672350;1252450;237.4672679;52.2987214;271;26;16.9379485;42.4474927;132.7829983;0;34.9510725;41.0299985;0;2.3593719;3.017579;7.4964202;0;6.9771902;8.8526373;0.220235495453729;0.071327508206869;0.178750920391585;0.559163372174376;0;0.147182695152404;0.172781701085971;0;0.00993556678722373;0.0127073471080264;0.0315682252391804;0;0.0293816923136462;0.0372794001391718
2672350;1252550;164.30632;39.832207;176;9;0;31.3959627;26.2618266;0;31.3959627;0;0;0;0;0;0;106.6485307;0;0.242426505565945;0;0.191081893258884;0.159834549273576;0;0.191081893258884;0;0;0;0;0;0;0.64908355746754;0
